region,rajon,title,amount,period,month
Гомельская,Петриковский,"Петриковский район",4584.3,3,Апрель
Гомельская,Речицкий,"Речицкий район",6707.7,3,Апрель
Гомельская,Рогачевский,"Рогачевский район",5199.8,3,Апрель
Гомельская,Светлогорский,"Светлогорский район",6030.5,3,Апрель
Гомельская,Хойникский,"Хойникский район",4731.1,3,Апрель
Гомельская,Чечерский,"Чечерский район",5250.8,3,Апрель
Могилевская,Всего,"Могилевская область",5724,3,Апрель
Гродненская,Гродно,Гродно,6599.5,3,Апрель
Гродненская,Берестовицкий,"Берестовицкий район",5677,3,Апрель
Гродненская,Волковысский,"Волковысский район",5690.4,3,Апрель
Гродненская,Вороновский,"Вороновский район",4799.6,3,Апрель
Гродненская,Гродненский,"Гродненский район",6039.1,3,Апрель
Гродненская,Дятловский,"Дятловский район",4532.4,3,Апрель
Гродненская,Зельвенский,"Зельвенский район",4638.8,3,Апрель
Гродненская,Ивьевский,"Ивьевский район",4681.8,3,Апрель
Гродненская,Кореличский,"Кореличский район",4771.9,3,Апрель
Гродненская,Лидский,"Лидский район",5322.4,3,Апрель
Гродненская,Мостовский,"Мостовский район",4652.8,3,Апрель
Гродненская,Новогрудский,"Новогрудский район",5156.4,3,Апрель
Гродненская,Островецкий,"Островецкий район",5813.7,3,Апрель
Гродненская,Ошмянский,"Ошмянский район",5464.7,3,Апрель
Гродненская,Свислочский,"Свислочский район",4712,3,Апрель
Гродненская,Слонимский,"Слонимский район",5179.7,3,Апрель
Гродненская,Сморгонский,"Сморгонский район",5510.7,3,Апрель
Гродненская,Щучинский,"Щучинский район",5113.6,3,Апрель
Могилевская,Всего,"Могилевская область",5257.2,0,Январь
Брестская,Брест,Брест,6398.9,3,Апрель
Брестская,Барановичи,Барановичи,5636.9,3,Апрель
Брестская,Пинск,Пинск,5428.2,3,Апрель
Брестская,Барановичский,"Барановичский район",5447.4,3,Апрель
Брестская,Березовский,"Березовский район",5668.2,3,Апрель
Брестская,Брестский,"Брестский район",5503.5,3,Апрель
Брестская,Ганцевичский,"Ганцевичский район",4677.9,3,Апрель
Брестская,Дрогичинский,"Дрогичинский район",4557.3,3,Апрель
Брестская,Жабинковский,"Жабинковский район",5573.1,3,Апрель
Брестская,Ивановский,"Ивановский район",5015.2,3,Апрель
