region,rajon,title,amount,period,month
Минская,Всего,Минская область,6772.3,4,Май
Минская,Всего,Минская область,6754.2,5,Июнь
Гомельская,Гомель,Гомель,6753.8,8,Сентябрь
Брестская,Брест,Брест,6749.1,7,Август
РБ,Всего,Республика Беларусь,6748.8,10,Ноябрь
Минская,Логойский,Логойский район,6743.5,7,Август
Гомельская,Гомель,Гомель,6732,6,Июль
Брестская область,Брест,Брест,6720.3,10,Ноябрь
Гомельская,Светлогорский,Светлогорский район,6714.8,7,Август
Гомельская,Гомель,Гомель,6711.2,5,Июнь
Гомельская,Речицкий,Речицкий район,6707.7,3,Апрель
Гомельская,Мозырский,Мозырский район,6706.2,2,Март
Брестская,Брест,Брест,6697.2,8,Сентябрь
Гродненская,Гродненский,Гродненский район,6695,6,Июль
Гомельская,Мозырский,Мозырский район,6688.4,4,Май
Минская область,Смолевичский,Смолевичский район,6688.2,10,Ноябрь
РБ,Всего,Республика Беларусь,6687.6,4,Май
Могилевская,Могилев,Могилев,6686.3,6,Июль
Гродненская область,Гродненский,Гродненский район,6681.7,11,Декабрь
Брестская,Брест,Брест,6672.9,5,Июнь
Гомельская область,Гомель,Гомель,6672.9,9,Октябрь
Гомельская,Жлобинский,Жлобинский район,6670.6,5,Июнь
Гомельская,Гомель,Гомель,6646,7,Август
Гомельская область,Светлогорский,Светлогорский район,6640.4,11,Декабрь
Гродненская,Гродно,Гродно,6638.3,2,Март
Гомельская,Жлобинский,Жлобинский район,6632.9,4,Май
Минская,Несвижский,Несвижский район,6624.2,8,Сентябрь
Гомельская,Жлобинский,Жлобинский район,6612.8,7,Август
Могилевская,Могилев,Могилев,6612,7,Август
Гомельская,Жлобинский,Жлобинский район,6601.3,3,Апрель
Гродненская,Гродно,Гродно,6599.5,3,Апрель
Гродненская,Островецкий,Островецкий район,6598.5,5,Июнь
Минская,Пуховичский,Пуховичский район,6593.5,7,Август
Минская,Всего,Минская область,6592.3,3,Апрель
Витебская,Витебск,Витебск,6589.4,6,Июль
Гомельская,Речицкий,Речицкий район,6588.2,2,Март
Гродненская,Островецкий,Островецкий район,6587.3,7,Август
Гомельская,Жлобинский,Жлобинский район,6585.3,2,Март
Гомельская область,Гомель,Гомель,6585.2,10,Ноябрь
Гродненская,Островецкий,Островецкий район,6573.4,6,Июль
Минская,Смолевичский,Смолевичский район,6571.1,4,Май
Могилевская,Могилевский,Могилевский район,6569.4,7,Август
Могилевская,Могилев,Могилев,6564,5,Июнь
Минская,Несвижский,Несвижский район,6560.9,6,Июль
Гомельская,Светлогорский,Светлогорский район,6559.6,6,Июль
Могилевская,Могилев,Могилев,6544.7,8,Сентябрь
Брестская область,Барановичи,Барановичи,6544.5,11,Декабрь
Минская область,Логойский,Логойский район,6542.6,11,Декабрь
РБ,Всего,Республика Беларусь,6536.1,3,Апрель
Гомельская,Светлогорский,Светлогорский район,6527.3,8,Сентябрь
Минская,Несвижский,Несвижский район,6523.4,3,Апрель
Минская,Жодино,Жодино,6522.5,6,Июль
Гомельская,Светлогорский,Светлогорский район,6516.9,5,Июнь
Могилевская область,Могилев,Могилев,6514.3,9,Октябрь
Гомельская,Всего,Гомельская область,6511.2,6,Июль
Минская область,Несвижский,Несвижский район,6510.9,11,Декабрь
Гомельская область,Светлогорский,Светлогорский район,6509.6,9,Октябрь
Гродненская,Гродненский,Гродненский район,6484.3,8,Сентябрь
РБ,Всего,Республика Беларусь,6483.7,2,Март
Гомельская область,Всего,Всего,6482.3,11,Декабрь
Гомельская,Жлобинский,Жлобинский район,6473.7,8,Сентябрь
Минская,Смолевичский,Смолевичский район,6473.1,3,Апрель
Брестская область,Березовский,Березовский район,6465.7,11,Декабрь
Минская,Смолевичский,Смолевичский район,6450.3,2,Март
Минская область,Жодино,Жодино,6448.5,9,Октябрь
Минская,Жодино,Жодино,6446.3,8,Сентябрь
Минская,Логойский,Логойский район,6441.2,6,Июль
Могилевская,Могилевский,Могилевский район,6439.6,6,Июль
Гомельская,Гомель,Гомель,6435.1,4,Май
Могилевская,Могилев,Могилев,6431.7,4,Май
Витебская,Витебск,Витебск,6428.9,5,Июнь
Минская,Несвижский,Несвижский район,6422,5,Июнь
Гомельская,Всего,Гомельская область,6421.3,7,Август
Могилевская область,Могилев,Могилев,6421.2,10,Ноябрь
Брестская,Брест,Брест,6417.2,4,Май
Гомельская,Гомельский,Гомельский район,6410.3,7,Август
Гомельская,Гомельский,Гомельский район,6404.8,6,Июль
Витебская,Витебск,Витебск,6404.4,7,Август
Гомельская,Светлогорский,Светлогорский район,6399.8,4,Май
Брестская,Брест,Брест,6398.9,3,Апрель
Гродненская область,Островецкий,Островецкий район,6396.7,11,Декабрь
Брестская область,Всего,Брестская область,6393.3,11,Декабрь
Гродненская область,Всего,Гродненская область,6391.8,11,Декабрь
Минская область,Несвижский,Несвижский район,6388.7,10,Ноябрь
Минская область,Несвижский,Несвижский район,6381.9,9,Октябрь
Минская область,Жодино,Жодино,6378.8,10,Ноябрь
Минская,Жодино,Жодино,6377.2,7,Август
Гомельская,Всего,Гомельская область,6372.3,8,Сентябрь
Могилевская,Костюковичский,Костюковичский район,6368.2,7,Август
Минская область,Пуховичский,Пуховичский район,6367.8,11,Декабрь
Витебская область,Витебск,Витебск,6362.3,9,Октябрь
Минская область,Молодечненский,Молодечненский район,6362.1,11,Декабрь
Гомельская,Гомель,Гомель,6360.3,3,Апрель
Минская,Всего,Минская область,6355.8,2,Март
Брестская,Брест,Брест,6350.3,2,Март
Минская,Несвижский,Несвижский район,6348.1,4,Май
Минская,Пуховичский,Пуховичский район,6346.5,5,Июнь
Могилевская,Шкловский,Шкловский район,6345.4,6,Июль
Гомельская,Всего,Гомельская область,6343.2,5,Июнь
Витебская область,Полоцкий,Полоцкий район,6342.1,11,Декабрь
Минская,Дзержинский,Дзержинский район,6340,1,Февраль
Брестская область,Жабинковский,Жабинковский район,6338.3,9,Октябрь
Минская область,Мядельский,Мядельский район,6336.2,11,Декабрь
Витебская,Верхнедвинский,Верхнедвинский район,6332.6,7,Август
Минская,Логойский,Логойский район,6328.4,8,Сентябрь
Гродненская,Волковысский,Волковысский район,6327.2,7,Август
Гомельская,Гомель,Гомель,6325.9,2,Март
Могилевская,Шкловский,Шкловский район,6318.5,7,Август
Могилевская,Могилев,Могилев,6314.7,3,Апрель
Минская,Столбцовский,Столбцовский район,6310,7,Август
Гомельская область,Светлогорский,Светлогорский район,6307,10,Ноябрь
Гродненская,Гродно,Гродно,6306.8,1,Февраль
Брестская,Каменецкий,Каменецкий район,6305.5,7,Август
Гродненская,Гродненский,Гродненский район,6297.3,5,Июнь
