group,subgroup,amount,period,month
Транспорт и связь,деятельность прочего сухопутного транспорта,6450106,3,Апрель
Транспорт и связь,деятельность водного транспорта,4603695,3,Апрель
Транспорт и связь,деятельность воздушного транспорта,13564782,3,Апрель
Транспорт и связь,"деятельность воздушного транспорта, не подчиняющегося расписанию",10410730,3,Апрель
Транспорт и связь,вспомогательная и дополнительная транспортная деятельность,6563470,3,Апрель
Транспорт и связь,прочая вспомогательная деятельность воздушного транспорта,10201480,3,Апрель
Транспорт и связь,связь,8328972,3,Апрель
Финансовая деятельность,Всего,11721110,3,Апрель
Финансовая деятельность,финансовое посредничество,11546881,3,Апрель
Финансовая деятельность,страхование,12655570,3,Апрель
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",Всего,9488950,3,Апрель
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",операции с недвижимым имуществом,5257279,3,Апрель
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования,5816425,3,Апрель
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность, связанная с вычислительной техникой",23440265,3,Апрель
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки,8142332,3,Апрель
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки в области естественных и технических наук,8268331,3,Апрель
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",деятельность по управлению холдинговыми компаниями,10204559,3,Апрель
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельностьв области архитектуры, инженерные услуги",9567665,3,Апрель
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",топографо-геодезическая деятельность,8572083,3,Апрель
Образование,Образование,4828248,3,Апрель
Здравоохранение и предоставление социальных услуг,Всего,5306225,3,Апрель
Здравоохранение и предоставление социальных услуг,деятельность в области здравоохранения,5507753,3,Апрель
Здравоохранение и предоставление социальных услуг,предоставление социальных услуг,3931307,3,Апрель
"Предоставление коммунальных, социальных и персональных услуг",Всего,5167584,3,Апрель
"Предоставление коммунальных, социальных и персональных услуг","деятельность по организации отдыха и развлечений, культуры и спорта",5157655,3,Апрель
"Предоставление коммунальных, социальных и персональных услуг","деятельность, связанная с кино- и видеофильмами",5103377,3,Апрель
"Предоставление коммунальных, социальных и персональных услуг",деятельность в области радиовещания и телевидения,9124991,3,Апрель
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6574941,3,Апрель
Всего,Всего,6129105,1,Февраль
"Сельское хозяйство, охота и лесное хозяйство",Всего,4344284,1,Февраль
"Сельское хозяйство, охота и лесное хозяйство","сельское хозяйство, охота и предоставление услуг в этих областях",4255729,1,Февраль
"Сельское хозяйство, охота и лесное хозяйство",животноводство,4375183,1,Февраль
"Сельское хозяйство, охота и лесное хозяйство",лесное хозяйство и предоставление услуг в этой области,5081233,1,Февраль
"Рыболовство, рыбоводство","Рыболовство, рыбоводство",4010874,1,Февраль
Промышленность,Всего,6386555,1,Февраль
Промышленность,горнодобывающая промышленность,7654558,1,Февраль
Промышленность,добыча топливно-энергетических полезных ископаемых,8848913,1,Февраль
Промышленность,"добыча угля, лигнита и торфа",4696443,1,Февраль
Промышленность,"добыча полезных ископаемых, кроме топливно-энергетических",6311748,1,Февраль
Промышленность,обрабатывающая промышленность,6319286,1,Февраль
Промышленность,"производство пищевых продуктов, включая напитки, и табака",6283430,1,Февраль
Промышленность,текстильное и швейное производство,4325221,1,Февраль
Промышленность,"производство кожи, изделий из кожи и производство обуви",4907310,1,Февраль
Промышленность,обработка древесины и производство изделий из дерева,5201793,1,Февраль
Промышленность,целлюлозно-бумажное производство. Издательская деятельность,6218005,1,Февраль
Промышленность,"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5308640,1,Февраль
Промышленность,издательская деятельность,8277320,1,Февраль
Промышленность,полиграфическая деятельность и предоставление услуг в этой области,6440725,1,Февраль
Промышленность,"производство кокса, нефтепродуктов и ядерных материалов",11185136,1,Февраль
Промышленность,химическое производство,9877112,1,Февраль
Промышленность,производство резиновых и пластмассовых изделий,6325310,1,Февраль
Промышленность,производство прочих неметаллических минеральных продуктов,6015905,1,Февраль
Промышленность,производство сборных железобетонных и бетонных конструкций и изделий,6195359,1,Февраль
Промышленность,металлургическое производство и производство готовых металлических изделий,6494499,1,Февраль
Промышленность,производство машин и оборудования,6193434,1,Февраль
Промышленность,"производство электрооборудования, электронного и оптического оборудования",5862207,1,Февраль
Промышленность,производство офисного оборудования и вычислительной техники,7254137,1,Февраль
Промышленность,производство электрических машин и электрооборудования,5351077,1,Февраль
Промышленность,"производство аппаратуры для радио, телевидения и связи",6061784,1,Февраль
Промышленность,"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",6757596,1,Февраль
Промышленность,производство транспортных средств и оборудования,6471213,1,Февраль
Промышленность,"производство автомобилей, прицепов и полуприцепов",6368896,1,Февраль
Промышленность,производство прочих транспортных средств,6968638,1,Февраль
Промышленность,прочие отрасли промышленности,5744403,1,Февраль
Промышленность,"производство мебели и прочей продукции, не включенной в другие группировки",5580471,1,Февраль
Промышленность,обработка вторичного сырья,7185625,1,Февраль
Промышленность,"производство и распределение электроэнергии, газа и воды",6625363,1,Февраль
Промышленность,"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",5574390,1,Февраль
Промышленность,теплоснабжение,5006404,1,Февраль
Промышленность,"сбор, очистка и распределение воды",5685415,1,Февраль
Строительство,Строительство,7002448,1,Февраль
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",Всего,5933042,1,Февраль
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",7648537,1,Февраль
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",7999885,1,Февраль
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5354017,1,Февраль
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",ремонт бытовых изделий и предметов личного пользования,3848437,1,Февраль
Гостиницы и рестораны,Гостиницы и рестораны,4522647,1,Февраль
Транспорт и связь,Транспорт и связь,6929901,1,Февраль
Транспорт и связь,деятельность сухопутного транспорта,7007998,1,Февраль
Транспорт и связь,деятельность железнодорожного транспорта,7647053,1,Февраль
Транспорт и связь,деятельность прочего сухопутного транспорта,5963678,1,Февраль
Транспорт и связь,деятельность водного транспорта,4183117,1,Февраль
Транспорт и связь,деятельность воздушного транспорта,12033535,1,Февраль
Транспорт и связь,"деятельность воздушного транспорта, не подчиняющегося расписанию",9311238,1,Февраль
Транспорт и связь,вспомогательная и дополнительная транспортная деятельность,5864252,1,Февраль
Транспорт и связь,прочая вспомогательная деятельность воздушного транспорта,8632128,1,Февраль
Транспорт и связь,связь,7444757,1,Февраль
Финансовая деятельность,Всего,10208830,1,Февраль
Финансовая деятельность,финансовое посредничество,10548464,1,Февраль
Финансовая деятельность,страхование,7877626,1,Февраль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",Всего,10154441,1,Февраль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",операции с недвижимым имуществом,4913601,1,Февраль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования,5442788,1,Февраль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность, связанная с вычислительной техникой",31379909,1,Февраль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки,7537049,1,Февраль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки в области естественных и технических наук,7662246,1,Февраль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельностьв области архитектуры, инженерные услуги",9150595,1,Февраль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",топографо-геодезическая деятельность,7777910,1,Февраль
Образование,Образование,4610729,1,Февраль
Здравоохранение и предоставление социальных услуг,Всего,4977148,1,Февраль
Здравоохранение и предоставление социальных услуг,деятельность в области здравоохранения,5161297,1,Февраль
Здравоохранение и предоставление социальных услуг,предоставление социальных услуг,3756936,1,Февраль
"Предоставление коммунальных, социальных и персональных услуг",Всего,5039427,1,Февраль
"Предоставление коммунальных, социальных и персональных услуг","деятельность по организации отдыха и развлечений, культуры и спорта",5083143,1,Февраль
"Предоставление коммунальных, социальных и персональных услуг","деятельность, связанная с кино- и видеофильмами",4028271,1,Февраль
"Предоставление коммунальных, социальных и персональных услуг",деятельность в области радиовещания и телевидения,8815884,1,Февраль
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6171326,1,Февраль
Всего,Всего,6483703,2,Март
"Сельское хозяйство, охота и лесное хозяйство",Всего,4758258,2,Март
"Сельское хозяйство, охота и лесное хозяйство","сельское хозяйство, охота и предоставление услуг в этих областях",4685789,2,Март
"Сельское хозяйство, охота и лесное хозяйство",животноводство,4708194,2,Март
"Сельское хозяйство, охота и лесное хозяйство",лесное хозяйство и предоставление услуг в этой области,5366860,2,Март
"Рыболовство, рыбоводство","Рыболовство, рыбоводство",4342623,2,Март
Промышленность,Всего,6770086,2,Март
Промышленность,горнодобывающая промышленность,7798822,2,Март
Промышленность,добыча топливно-энергетических полезных ископаемых,9142960,2,Март
Промышленность,"добыча угля, лигнита и торфа",4958200,2,Март
Промышленность,"добыча полезных ископаемых, кроме топливно-энергетических",6285558,2,Март
Промышленность,обрабатывающая промышленность,6701173,2,Март
Промышленность,"производство пищевых продуктов, включая напитки, и табака",6805509,2,Март
Промышленность,текстильное и швейное производство,4646892,2,Март
Промышленность,"производство кожи, изделий из кожи и производство обуви",5043991,2,Март
Промышленность,обработка древесины и производство изделий из дерева,5486350,2,Март
Промышленность,целлюлозно-бумажное производство. Издательская деятельность,6600566,2,Март
Промышленность,"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5737941,2,Март
Промышленность,издательская деятельность,8552033,2,Март
Промышленность,полиграфическая деятельность и предоставление услуг в этой области,6877121,2,Март
Промышленность,"производство кокса, нефтепродуктов и ядерных материалов",12228940,2,Март
Промышленность,химическое производство,10257224,2,Март
Промышленность,производство резиновых и пластмассовых изделий,6729328,2,Март
Промышленность,производство прочих неметаллических минеральных продуктов,6415360,2,Март
Промышленность,производство сборных железобетонных и бетонных конструкций и изделий,6457269,2,Март
Промышленность,металлургическое производство и производство готовых металлических изделий,7152132,2,Март
Промышленность,производство машин и оборудования,6403601,2,Март
Промышленность,"производство электрооборудования, электронного и оптического оборудования",6154258,2,Март
Промышленность,производство офисного оборудования и вычислительной техники,9849254,2,Март
Промышленность,производство электрических машин и электрооборудования,5612331,2,Март
Промышленность,"производство аппаратуры для радио, телевидения и связи",6290901,2,Март
Промышленность,"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",7159992,2,Март
Промышленность,производство транспортных средств и оборудования,6795303,2,Март
Промышленность,"производство автомобилей, прицепов и полуприцепов",6544436,2,Март
Промышленность,производство прочих транспортных средств,7913680,2,Март
Промышленность,прочие отрасли промышленности,5906006,2,Март
Промышленность,"производство мебели и прочей продукции, не включенной в другие группировки",5677708,2,Март
Промышленность,обработка вторичного сырья,7864671,2,Март
Промышленность,"производство и распределение электроэнергии, газа и воды",7052031,2,Март
Промышленность,"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",6085113,2,Март
Промышленность,теплоснабжение,5648056,2,Март
Промышленность,"сбор, очистка и распределение воды",6306259,2,Март
Строительство,Строительство,7380044,2,Март
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",Всего,6390607,2,Март
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",8151302,2,Март
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",8429652,2,Март
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5798332,2,Март
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",ремонт бытовых изделий и предметов личного пользования,4324898,2,Март
Гостиницы и рестораны,Гостиницы и рестораны,4885822,2,Март
Транспорт и связь,Транспорт и связь,7212367,2,Март
Транспорт и связь,деятельность сухопутного транспорта,7131761,2,Март
Транспорт и связь,деятельность железнодорожного транспорта,7819293,2,Март
Транспорт и связь,деятельность прочего сухопутного транспорта,6388152,2,Март
Транспорт и связь,деятельность водного транспорта,4513765,2,Март
Транспорт и связь,деятельность воздушного транспорта,13156853,2,Март
Транспорт и связь,"деятельность воздушного транспорта, не подчиняющегося расписанию",10210408,2,Март
Транспорт и связь,вспомогательная и дополнительная транспортная деятельность,6481855,2,Март
Транспорт и связь,прочая вспомогательная деятельность воздушного транспорта,10713580,2,Март
Транспорт и связь,связь,7878775,2,Март
Финансовая деятельность,Финансовая деятельность,11970760,2,Март
Финансовая деятельность,финансовое посредничество,12470462,2,Март
Финансовая деятельность,страхование,8660373,2,Март
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",9460695,2,Март
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",операции с недвижимым имуществом,5338396,2,Март
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования,4992647,2,Март
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность, связанная с вычислительной техникой",23695272,2,Март
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки,7962491,2,Март
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки в области естественных и технических наук,8021854,2,Март
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",деятельность по управлению холдинговыми компаниями,10194310,2,Март
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность в области архитектуры, инженерные услуги",9340379,2,Март
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",топографо-геодезическая деятельность,8287688,2,Март
Образование,Образование,4823850,2,Март
Здравоохранение и предоставление социальных услуг,Всего,5272107,2,Март
Здравоохранение и предоставление социальных услуг,деятельность в области здравоохранения,5475461,2,Март
Здравоохранение и предоставление социальных услуг,предоставление социальных услуг,3916363,2,Март
"Предоставление коммунальных, социальных и персональных услуг",Всего,5330338,2,Март
"Предоставление коммунальных, социальных и персональных услуг","деятельность по организации отдыха и развлечений, культуры и спорта",5223971,2,Март
"Предоставление коммунальных, социальных и персональных услуг","деятельность, связанная с кино- и видеофильмами",4666415,2,Март
"Предоставление коммунальных, социальных и персональных услуг",деятельность в области радиовещания и телевидения,9182878,2,Март
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6525753,2,Март
Всего,Всего,6023213,0,Январь
"Сельское хозяйство, охота и лесное хозяйство",Всего,4462712,0,Январь
"Сельское хозяйство, охота и лесное хозяйство","сельское хозяйство, охота и предоставление услуг в этих областях",4389639,0,Январь
"Сельское хозяйство, охота и лесное хозяйство",животноводство,4499424,0,Январь
"Сельское хозяйство, охота и лесное хозяйство",лесное хозяйство и предоставление услуг в этой области,5070788,0,Январь
"Рыболовство, рыбоводство","Рыболовство, рыбоводство",4013498,0,Январь
Промышленность,Всего,6256070,0,Январь
Промышленность,горнодобывающая промышленность,7387336,0,Январь
Промышленность,добыча топливно-энергетических полезных ископаемых,8143409,0,Январь
Промышленность,"добыча угля, лигнита и торфа",4715387,0,Январь
Промышленность,"добыча полезных ископаемых, кроме топливно-энергетических",6509934,0,Январь
Промышленность,обрабатывающая промышленность,6205441,0,Январь
Промышленность,"производство пищевых продуктов, включая напитки, и табака",6257448,0,Январь
Промышленность,текстильное и швейное производство,4325203,0,Январь
Промышленность,"производство кожи, изделий из кожи и производство обуви",4748411,0,Январь
Промышленность,обработка древесины и производство изделий из дерева,5138692,0,Январь
Промышленность,целлюлозно-бумажное производство. Издательская деятельность,6225126,0,Январь
Промышленность,"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5181549,0,Январь
Промышленность,издательская деятельность,8831134,0,Январь
Промышленность,полиграфическая деятельность и предоставление услуг в этой области,6270935,0,Январь
Промышленность,"производство кокса, нефтепродуктов и ядерных материалов",11406423,0,Январь
Промышленность,химическое производство,9642259,0,Январь
Промышленность,производство резиновых и пластмассовых изделий,6225838,0,Январь
Промышленность,производство прочих неметаллических минеральных продуктов,6217368,0,Январь
Промышленность,производство сборных железобетонных и бетонных конструкций и изделий,6305027,0,Январь
Промышленность,металлургическое производство и производство готовых металлических изделий,6532210,0,Январь
Промышленность,производство машин и оборудования,5928263,0,Январь
Промышленность,"производство электрооборудования, электронного и оптического оборудования",5661336,0,Январь
Промышленность,производство офисного оборудования и вычислительной техники,7356438,0,Январь
Промышленность,производство электрических машин и электрооборудования,5122807,0,Январь
Промышленность,"производство аппаратуры для радио, телевидения и связи",5978137,0,Январь
Промышленность,"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",6538405,0,Январь
Промышленность,производство транспортных средств и оборудования,5883324,0,Январь
Промышленность,"производство автомобилей, прицепов и полуприцепов",5637482,0,Январь
Промышленность,производство прочих транспортных средств,7101774,0,Январь
Промышленность,прочие отрасли промышленности,5640897,0,Январь
Промышленность,"производство мебели и прочей продукции, не включенной в другие группировки",5481945,0,Январь
Промышленность,обработка вторичного сырья,7040745,0,Январь
Промышленность,"производство и распределение электроэнергии, газа и воды",6415563,0,Январь
Промышленность,"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",5508112,0,Январь
Промышленность,теплоснабжение,5004303,0,Январь
Промышленность,"сбор, очистка и распределение воды",5906056,0,Январь
Строительство,Строительство,7022605,0,Январь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",Всего,5912653,0,Январь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",7377029,0,Январь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",7681316,0,Январь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5416120,0,Январь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",ремонт бытовых изделий и предметов личного пользования,3795613,0,Январь
Гостиницы и рестораны,Гостиницы и рестораны,4605396,0,Январь
Транспорт и связь,Всего,6952307,0,Январь
Транспорт и связь,деятельность сухопутного транспорта,6968460,0,Январь
Транспорт и связь,деятельность железнодорожного транспорта,7531662,0,Январь
Транспорт и связь,деятельность прочего сухопутного транспорта,6276655,0,Январь
Транспорт и связь,деятельность водного транспорта,3975116,0,Январь
Транспорт и связь,деятельность воздушного транспорта,14012071,0,Январь
Транспорт и связь,"деятельность воздушного транспорта, не подчиняющегося расписанию",11273034,0,Январь
Транспорт и связь,вспомогательная и дополнительная транспортная деятельность,6043065,0,Январь
Транспорт и связь,прочая вспомогательная деятельность воздушного транспорта,9294113,0,Январь
Транспорт и связь,связь,7421894,0,Январь
Финансовая деятельность,Всего,10967174,0,Январь
Финансовая деятельность,финансовое посредничество,11512573,0,Январь
Финансовая деятельность,страхование,7389328,0,Январь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",Всего,8898829,0,Январь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",операции с недвижимым имуществом,5055459,0,Январь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования,5044015,0,Январь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность, связанная с вычислительной техникой",23086730,0,Январь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки,7328347,0,Январь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки в области естественных и технических наук,7439895,0,Январь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельностьв области архитектуры, инженерные услуги",8838297,0,Январь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",топографо-геодезическая деятельность,7625685,0,Январь
Образование,Образование,4439260,0,Январь
Здравоохранение и предоставление социальных услуг,Всего,4828675,0,Январь
Здравоохранение и предоставление социальных услуг,деятельность в области здравоохранения,4997097,0,Январь
Здравоохранение и предоставление социальных услуг,предоставление социальных услуг,3715417,0,Январь
"Предоставление коммунальных, социальных и персональных услуг",Всего,4978906,0,Январь
"Предоставление коммунальных, социальных и персональных услуг","деятельность по организации отдыха и развлечений, культуры и спорта",4950569,0,Январь
"Предоставление коммунальных, социальных и персональных услуг","деятельность, связанная с кино- и видеофильмами",4467808,0,Январь
"Предоставление коммунальных, социальных и персональных услуг",деятельность в области радиовещания и телевидения,9445679,0,Январь
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6060950,0,Январь
Всего,Всего,6687564,4,Май
"Сельское хозяйство, охота и лесное хозяйство",Всего,5028400,4,Май
"Сельское хозяйство, охота и лесное хозяйство","сельское хозяйство, охота и предоставление услуг в этих областях",4996224,4,Май
"Сельское хозяйство, охота и лесное хозяйство",животноводство,4919787,4,Май
"Сельское хозяйство, охота и лесное хозяйство",лесное хозяйство и предоставление услуг в этой области,5302283,4,Май
"Рыболовство, рыбоводство","Рыболовство, рыбоводство",4343637,4,Май
Промышленность,Всего,6952583,4,Май
Промышленность,горнодобывающая промышленность,8531549,4,Май
Промышленность,добыча топливно-энергетических полезных ископаемых,10062809,4,Май
Промышленность,"добыча угля, лигнита и торфа",4586703,4,Май
Промышленность,"добыча полезных ископаемых, кроме топливно-энергетических",6762317,4,Май
Промышленность,обрабатывающая промышленность,6845214,4,Май
Промышленность,"производство пищевых продуктов, включая напитки, и табака",6857257,4,Май
Промышленность,текстильное и швейное производство,4624792,4,Май
Промышленность,"производство кожи, изделий из кожи и производство обуви",4654432,4,Май
Промышленность,обработка древесины и производство изделий из дерева,5297291,4,Май
Промышленность,целлюлозно-бумажное производство. Издательская деятельность,6798711,4,Май
Промышленность,"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5677486,4,Май
Промышленность,издательская деятельность,9286627,4,Май
Промышленность,полиграфическая деятельность и предоставление услуг в этой области,7168347,4,Май
Промышленность,"производство кокса, нефтепродуктов и ядерных материалов",12280776,4,Май
Промышленность,химическое производство,12656514,4,Май
Промышленность,производство резиновых и пластмассовых изделий,6926597,4,Май
Промышленность,производство прочих неметаллических минеральных продуктов,6437280,4,Май
Промышленность,производство сборных железобетонных и бетонных конструкций и изделий,6433569,4,Май
Промышленность,металлургическое производство и производство готовых металлических изделий,7163195,4,Май
Промышленность,производство машин и оборудования,6097725,4,Май
Промышленность,"производство электрооборудования, электронного и оптического оборудования",6202979,4,Май
Промышленность,производство офисного оборудования и вычислительной техники,6705004,4,Май
Промышленность,производство электрических машин и электрооборудования,5693965,4,Май
Промышленность,"производство аппаратуры для радио, телевидения и связи",6372334,4,Май
Промышленность,"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",7093297,4,Май
Промышленность,производство транспортных средств и оборудования,6876608,4,Май
Промышленность,"производство автомобилей, прицепов и полуприцепов",6573371,4,Май
Промышленность,производство прочих транспортных средств,8240708,4,Май
Промышленность,прочие отрасли промышленности,5743648,4,Май
Промышленность,"производство мебели и прочей продукции, не включенной в другие группировки",5465819,4,Май
Промышленность,обработка вторичного сырья,8004516,4,Май
Промышленность,"производство и распределение электроэнергии, газа и воды",7413660,4,Май
Промышленность,"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",6239981,4,Май
Промышленность,теплоснабжение,5116105,4,Май
Промышленность,"сбор, очистка и распределение воды",5939514,4,Май
Строительство,Строительство,7660327,4,Май
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",6404154,4,Май
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",8221859,4,Май
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",8326372,4,Май
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5842630,4,Май
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",ремонт бытовых изделий и предметов личного пользования,4000993,4,Май
Гостиницы и рестораны,Гостиницы и рестораны,4999644,4,Май
Транспорт и связь,Всего,7469623,4,Май
Транспорт и связь,деятельность сухопутного транспорта,7386976,4,Май
Транспорт и связь,деятельность железнодорожного транспорта,7865892,4,Май
Транспорт и связь,деятельность прочего сухопутного транспорта,6642078,4,Май
Транспорт и связь,деятельность водного транспорта,4569616,4,Май
Транспорт и связь,деятельность воздушного транспорта,14779233,4,Май
Транспорт и связь,"деятельность воздушного транспорта, не подчиняющегося расписанию",10847820,4,Май
Транспорт и связь,вспомогательная и дополнительная транспортная деятельность,6687577,4,Май
Транспорт и связь,прочая вспомогательная деятельность воздушного транспорта,10096783,4,Май
Транспорт и связь,связь,8093878,4,Май
Финансовая деятельность,Всего,12918832,4,Май
Финансовая деятельность,финансовое посредничество,13671447,4,Май
Финансовая деятельность,страхование,8177692,4,Май
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",Всего,9718525,4,Май
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",операции с недвижимым имуществом,5356776,4,Май
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования,6084286,4,Май
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность, связанная с вычислительной техникой",24551619,4,Май
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки,8069894,4,Май
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки в области естественных и технических наук,8199949,4,Май
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",деятельность по управлению холдинговыми компаниями,10414441,4,Май
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельностьв области архитектуры, инженерные услуги",9755840,4,Май
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",топографо-геодезическая деятельность,8425920,4,Май
Образование,Образование,4996141,4,Май
Здравоохранение и предоставление социальных услуг,Всего,5420351,4,Май
Здравоохранение и предоставление социальных услуг,деятельность в области здравоохранения,5639886,4,Май
Здравоохранение и предоставление социальных услуг,предоставление социальных услуг,3990257,4,Май
"Предоставление коммунальных, социальных и персональных услуг",Всего,5293958,4,Май
"Предоставление коммунальных, социальных и персональных услуг","деятельность по организации отдыха и развлечений, культуры и спорта",5276419,4,Май
"Предоставление коммунальных, социальных и персональных услуг","деятельность, связанная с кино- и видеофильмами",4209862,4,Май
"Предоставление коммунальных, социальных и персональных услуг",деятельность в области радиовещания и телевидения,9790867,4,Май
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6724045,4,Май
Всего,Всего,6883744,5,Июнь
Всего,"Сельское хозяйство, охота и лесное хозяйство",5162535,5,Июнь
"Сельское хозяйство, охота и лесное хозяйство","сельское хозяйство, охота и предоставление услуг в этих областях",5112994,5,Июнь
